,provider_num,npi,name,address,city,state,zip,fips_county,lat,lon,phone,provider_type_code,category,emergency,upin,pin,region_code,bed_count,clia_lab_number
93,222006,1568532273,LEMUEL SHATTUCK HOSPITAL,170 MORTON STREET,JAMAICA PLAIN,MA,21303735,25.0,42.299067750000006,-71.10124351911541,6175228110,00-09,01-02,False,,,1.0,260.0,22D0650265
97,222023,1437216132,WESTERN MASSACHUSETTS HOSPITAL,91 EAST MOUNTAIN ROAD,WESTFIELD,MA,10851801,13.0,42.11074355,-72.70066160206358,4135624131,00-09,01-02,False,,,1.0,102.0,
99,222047,1235301797,WHITTIER REHABILITATION HOSPITAL - BRADFORD,145 WARD HILL AVENUE,WESTBOROUGH,MA,15811017,9.0,42.2694308,-71.6129907,9783728000,00-09,01-02,False,,,1.0,60.0,
138,222027,1851646087,NEW ENGLAND SINAI HOSPITAL,150 YORK STREET,STOUGHTON,MA,20729105,21.0,42.1446468,-71.09875876961266,7813644850,00-09,01-02,False,,,1.0,212.0,22D0650201
145,222046,1588009039,VIBRA HOSPITAL OF WESTERN MASS - CENTRAL CAMPUS,"111 HUNTOON MEMORIAL HIGHWAY, 1ST FLOOR",SPRINGFIELD,MA,11092550,27.0,42.1018764,-72.5886727,4137876700,00-09,01-02,False,,,1.0,174.0,22D0959314
181,222046,1588009039,VIBRA HOSPITAL OF WESTERN MASS - CENTRAL CAMPUS,"111 HUNTOON MEMORIAL HIGHWAY, 1ST FLOOR",ROCHDALE,MA,1542,27.0,42.2020225,-71.89891616754682,4137876700,00-09,01-02,False,,,1.0,174.0,22D0959314
182,222047,1235301797,WHITTIER REHABILITATION HOSPITAL - BRADFORD,145 WARD HILL AVENUE,BRADFORD,MA,1835,9.0,53.7944229,-1.7519186,9783728000,00-09,01-02,False,,,1.0,60.0,
198,220062,1134281280,ADCARE HOSPITAL OF WORCESTER INC,107 LINCOLN STREET,WORCESTER,MA,16052431,27.0,42.2764151,-71.79469158738553,5087999000,00-09,01-01,False,,,1.0,114.0,22D0069698
199,,1114984671,CAPE COD HOSPITAL INC,27 PARK ST,ORLEANS,MA,26533213,,44.74808610901659,-72.18340226612905,5087711800,00-09,,,,,,,
249,,1225002983,NEW ENGLAND REHABILITATION SERVICES OF CENTRAL MASSACHUSETTS INC,189 MAY ST,WORCESTER,MA,16024339,,42.25986305,-71.83597786023279,5087916351,00-09,,,,,,,
